campaign_id,campaign_profile,concurrent_pairs,critical_p95_ci95_ms,critical_p99_ci95_ms,evidence_label,items_per_arc,max_server_gateway_queue_wait_ms,median_application_goodput_mbps,median_client_context_switches,median_client_cpu_ms_per_completed_pair,median_client_cpu_pct,median_client_cpu_seconds_per_workload,median_client_host_cpu_pct,median_client_host_cpu_steal_pct,median_client_interface_mbps,median_client_involuntary_context_switches,median_client_launch_skew_ms,median_client_max_run_queue_depth,median_client_process_peak_rss_sum_kb,median_client_run_queue_depth,median_client_scheduler_wait_ms_per_pair,median_client_tcp_retransmissions,median_client_tcp_segments,median_client_voluntary_context_switches,median_completed_items_per_second,median_completed_pairs_per_second,median_critical_arc_ms,median_pair_jain_fairness,median_received_bytes,median_received_frames,median_sent_bytes,median_sent_frames,median_server_context_switches,median_server_cpu_ms_per_completed_pair,median_server_cpu_pct,median_server_cpu_seconds_per_workload,median_server_gateway_peak_queue_depth,median_server_gateway_peak_queue_utilization_pct,median_server_gateway_queue_wait_ms_per_queued_session,median_server_host_cpu_pct,median_server_host_cpu_steal_pct,median_server_interface_mbps,median_server_max_run_queue_depth,median_server_process_peak_rss_sum_kb,median_server_run_queue_depth,median_server_scheduler_wait_ms_per_pair,median_server_tcp_retransmissions,median_server_tcp_segments,median_stage_wall_ms,median_total_cpu_ms_per_completed_pair,median_total_cpu_seconds_per_workload,mode,p95_critical_arc_ms,p95_stage_wall_ms,p99_critical_arc_ms,p99_stage_wall_ms,pair_p50_ms,pair_p95_ci95_ms,pair_p95_ms,pair_p99_ci95_ms,pair_p99_ms,participants,route,stage_p95_ci95_ms,stage_p99_ci95_ms,total_client_cgroup_throttled_periods,total_client_cgroup_throttled_usec,total_server_cgroup_throttled_periods,total_server_cgroup_throttled_usec,total_server_gateway_queued_sessions,total_server_gateway_rejected_sessions,trials
preswap-sg-load-v3-final,load,64,"[14938.785967, 15148.244734]","[14953.971485, 15148.244734]",sg_load,15,12806.183241,0.319382811240532,3115.0,23.2400546875,9.76207173502576,1.4873635,9.227119683857685,0.0,0.5809985012707168,205.5,276.1165835,58.5,3158912.0,1.0,46.152548328125,0.0,4604.5,2904.0,63.13576922256167,4.209051281504111,14695.743527499999,0.6971739606769196,261952.0,1984.0,345088.0,2880.0,2501.5,26.161265625,10.687527518183789,1.674321,60.0,5.859375,6424.185060275,3.7788007779183497,0.0,0.5666264189424973,7.0,66508.0,1.0,0.0045514296875,0.0,4520.5,15205.383596,49.391890625,3.1610810000000003,reference-itemwise,14998.765547,15520.355016,15148.244734,15650.035786,8111.375952,"[13967.467338, 14154.535625]",14064.457227,"[14632.673718, 14900.190978]",14745.191793,8,sg_to_us,"[15421.362224, 15650.035786]","[15430.357993, 15650.035786]",0,0,0,0,1200,0,20
preswap-sg-load-v3-final,load,128,"[15764.729981, 15816.274073]","[15769.927581, 15816.274073]",sg_load,15,13946.0791,0.25892760103632995,2655.5,20.980031249999996,16.017991956017433,2.685444,15.07951694805772,0.0,0.44271482208570967,450.0,800.4418665000001,73.5,12300096.0,1.0,77.54132855468751,0.0,3847.5,2206.5,114.47518319809448,7.631678879872966,15745.806526,0.6519524873284213,311424.0,512.0,231424.0,384.0,1172.5,20.795210937500002,15.38279207386895,2.6617870000000003,116.0,11.328125,7050.200126165322,4.977027666885388,0.0,0.43004097465951263,6.5,68212.0,1.0,0.0032617773437500002,0.0,3968.0,16772.195642,41.81097265625,5.3518045,batch-joint-presigning-batch-verification,15811.474523,16819.156434,15816.274073,16844.502058,8603.558076,"[15145.047415, 15204.967758]",15176.128527,"[15688.608521, 15731.67193]",15709.598387,8,sg_to_us,"[16788.990704, 16844.502058]","[16810.863193, 16844.502058]",0,0,0,0,2480,0,20
preswap-sg-load-v3-final,load,128,"[15992.932547, 16079.94058]","[16020.405477, 16079.94058]",sg_load,15,14231.055202,0.24807328848012283,2408.5,22.90240234375,17.32112302162477,2.9315075000000004,15.317799151325364,0.0,0.4185941920464163,452.5,790.3677565,73.5,12227840.0,1.0,74.7735069296875,0.0,3569.5,1949.0,113.19966315410814,7.546644210273875,15932.1241915,0.6500778973786061,294528.0,384.0,231424.0,384.0,1170.5,24.425003906249998,17.86184873148128,3.1264005,116.0,11.328125,7162.4567837862905,5.590920958982729,0.0,0.4084333745372696,7.0,68148.0,1.0,0.00437545703125,0.0,3701.0,16961.1904365,47.379910156250006,6.0646284999999995,batch-joint-presigning-itemwise,16043.365918,17065.940899,16079.94058,17100.055816,8678.350892,"[15326.129851, 15388.145673]",15360.078028,"[15874.426762, 15940.354533]",15910.394229,8,sg_to_us,"[17010.192172, 17100.055816]","[17024.702178, 17100.055816]",0,0,0,0,2480,0,20
preswap-sg-load-v3-final,load,128,"[15809.705953, 15890.40793]","[15845.807569, 15890.40793]",sg_load,15,14004.968241,0.4048708617380564,2664.0,20.91437890625,15.911075602436107,2.6770405,14.99436794232773,0.0,0.5871918095369004,454.0,801.8254,75.5,13169920.0,1.0,99.96223526953125,0.0,3837.5,2208.0,114.31002345412676,7.620668230275117,15769.7043155,0.6529104294160616,434304.0,512.0,415744.0,384.0,1169.0,20.614703125,15.289696441287907,2.638682,117.0,11.42578125,7078.248185358871,4.906216815806423,0.0,0.5714820090100831,6.0,68398.0,1.0,0.00264758203125,0.0,3965.5,16796.4320255,41.4459453125,5.3050809999999995,phase-coalesced-batch-verification,15865.845361,16889.573273,15890.40793,16917.273549,8555.134093,"[15135.977182, 15203.933322]",15167.73518,"[15691.23503, 15754.496709]",15726.758034,8,sg_to_us,"[16837.901867, 16917.273549]","[16867.129191, 16917.273549]",0,0,0,0,2480,0,20
preswap-sg-load-v3-final,load,128,"[15995.932185, 16033.313815]","[15998.404639, 16033.313815]",sg_load,15,14137.748653,0.39264437919906037,2408.0,22.82821875,17.215747824084428,2.922012,15.33460426067008,0.0,0.564736655294299,456.0,807.1352254999999,76.5,12269824.0,1.0,75.84286087890624,0.0,3582.5,1951.5,113.10619311695163,7.540412874463442,15935.957431499999,0.6500328659451673,417408.0,384.0,415744.0,384.0,1169.5,24.200378906250002,17.777457703953274,3.0976485,117.0,11.42578125,7158.297813112903,5.620001703606592,0.0,0.5500862948793024,7.0,68272.0,1.0,0.0029178984375,0.0,3716.0,16975.1978535,46.90712499999999,6.004111999999999,phase-coalesced-itemwise,16015.004653,17068.006723,16033.313815,17072.666408,8678.201533,"[15310.145354, 15370.991094]",15344.636566,"[15869.180981, 15938.74948]",15919.327132,8,sg_to_us,"[17024.016601, 17072.666408]","[17027.661955, 17072.666408]",0,0,0,0,2480,0,20
preswap-sg-load-v3-final,load,128,"[28059.10732, 28217.919681]","[28130.806706, 28217.919681]",sg_load,15,26044.821299,0.33800425946157076,6330.0,23.457996093749998,10.445701123981651,3.0026235,11.682982116641949,0.0,0.6196341322922152,446.0,807.587662,72.0,13231104.0,1.0,82.04993555859375,0.0,9411.5,5871.0,66.81686731580866,4.454457821053911,27709.001724499998,0.5554209472747282,523904.0,3968.0,690176.0,5760.0,5078.0,25.46178125,11.133224760401593,3.259108,120.0,11.71875,12985.334851084677,3.866957719145007,0.0,0.6136126265497397,6.0,69890.0,1.0,0.00350508203125,0.0,9239.0,28735.259237,48.96407421875,6.2674015,reference-itemwise,28170.644248,29184.685495,28217.919681,29263.034401,14600.413504,"[26407.526565, 26609.608448]",26524.029862,"[27480.792626, 27786.035092]",27633.221251,8,sg_to_us,"[29111.936794, 29263.034401]","[29163.727689, 29263.034401]",0,0,0,0,2480,0,20
preswap-sg-load-v3-final,load,1024,"[117941.52386, 118316.02726]","[117969.551422, 118316.02726]",sg_load,15,116462.036233,0.27458145679366547,22244.5,22.07423681640625,17.86187168265974,22.6040185,25.642682720149182,0.0019860777607634645,0.47059636067418736,4513.0,8564.949938,87.5,415015680.0,1.0,375.18011329785156,0.0,31445.0,17731.5,121.39595177743993,8.09306345182933,117715.64416,0.2858029290926771,2491392.0,4096.0,1851392.0,3072.0,9333.0,19.9925595703125,16.15526748876253,20.472381,968.0,94.53125,59147.7097533304,5.095128737058432,0.0,0.4701201537396559,7.0,104950.0,1.0,0.00545002099609375,0.0,32462.0,126528.10722450001,42.06679833984374,43.076401499999996,batch-joint-presigning-batch-verification,118300.623813,127048.555963,118316.02726,127151.663724,60759.57011,"[111885.588407, 112089.692005]",111991.593709,"[116488.796902, 116749.958788]",116645.188164,8,sg_to_us,"[126743.735812, 127151.663724]","[126782.222918, 127151.663724]",0,0,0,0,20400,0,20
preswap-sg-load-v3-final,load,1024,"[119648.033134, 119999.67953]","[119692.034248, 119999.67953]",sg_load,15,118104.44825,0.26243080381217426,20270.0,24.015517089843748,19.167150062990252,24.5918895,25.92105083843934,0.0019576559180146313,0.4459962469925788,4555.5,8562.280715,88.0,418993280.0,1.0,309.5856747988281,0.0,29395.0,15716.5,119.7512185806344,7.983414572042294,119487.3022245,0.2913439042992367,2356224.0,3072.0,1851392.0,3072.0,9342.0,23.3931611328125,18.635593309509304,23.954597,971.5,94.873046875,60091.24915564559,5.718739055508866,0.0,0.44573101171397383,7.0,104644.0,1.0,0.00394559765625,0.0,30415.0,128265.9185895,47.36489306640625,48.5016505,batch-joint-presigning-itemwise,119953.840746,128706.062658,119999.67953,128748.578943,61737.160606,"[113446.869862, 113708.263548]",113594.305622,"[118132.519708, 118433.603289]",118245.00543,8,sg_to_us,"[128406.913516, 128748.578943]","[128478.098171, 128748.578943]",0,0,0,0,20400,0,20
preswap-sg-load-v3-final,load,1024,"[117958.635621, 118319.661262]","[118139.289164, 118319.661262]",sg_load,15,116422.522872,0.4298614300508602,22217.5,22.02926220703125,17.82512788089984,22.557964499999997,25.605036029312984,0.00198408761730918,0.6254915157270506,4482.5,8530.5255225,89.0,420674112.0,1.0,355.43989924316406,0.0,31430.5,17721.0,121.36578547588661,8.091052365059106,117806.2246785,0.2910892915296276,3474432.0,4096.0,3325952.0,3072.0,9329.5,20.02366015625,16.162937818271608,20.504227999999998,969.0,94.62890625,59239.45720310931,5.102542519753172,0.0,0.6247373740714867,7.0,106178.0,1.0,0.00409904736328125,0.0,32448.0,126559.557294,42.027755859375,43.036422,phase-coalesced-batch-verification,118204.462992,126945.340519,118319.661262,127067.732307,60845.733704,"[111964.603108, 112186.848286]",112056.784122,"[116571.336298, 116785.869504]",116674.55969,8,sg_to_us,"[126708.666462, 127067.732307]","[126879.105022, 127067.732307]",0,0,0,0,20400,0,20
preswap-sg-load-v3-final,load,1024,"[119609.510607, 119996.404009]","[119676.570925, 119996.404009]",sg_load,15,118098.107642,0.4161723059749528,20282.5,23.9500009765625,19.157349924337957,24.524801,25.93170017914668,0.0019608616090813526,0.5999195322266464,4559.5,8551.6618105,89.0,416907392.0,1.0,379.4491364208984,0.0,29389.0,15710.0,119.88371081626002,7.992247387750668,119373.9340135,0.29134234966575556,3339264.0,3072.0,3325952.0,3072.0,9338.0,23.3714453125,18.637361025617892,23.932360000000003,971.0,94.82421875,60026.18795993431,5.712231228326818,0.0,0.5997122429319736,7.0,106176.0,1.0,0.0031376865234375,0.0,30411.0,128124.162209,47.311988769531254,48.4474765,phase-coalesced-itemwise,119901.969313,128711.792498,119996.404009,128784.842604,61656.86241,"[113314.508344, 113709.828155]",113507.898874,"[117988.10257, 118387.402578]",118174.084059,8,sg_to_us,"[128282.709322, 128784.842604]","[128490.974882, 128784.842604]",0,0,0,0,20400,0,20
preswap-sg-load-v3-final,load,1024,"[215374.062909, 216698.254332]","[215753.754838, 216698.254332]",sg_load,15,214380.973114,0.34758502180608886,51619.5,24.7488955078125,11.329417143512249,25.342869,22.16916295777775,0.0022463710066565447,0.6373840786950773,4520.0,8493.6045075,88.0,417407040.0,1.0,556.7648218769532,0.0,76169.0,47084.5,68.71079766857318,4.580719844571545,214834.7173285,0.2041087458262009,4191232.0,31744.0,5521408.0,46080.0,41083.0,25.265753906249998,11.561013429125103,25.872132,984.0,96.09375,106753.91658800491,3.92519430544782,0.0,0.6410516331366529,7.0,115212.0,1.0,0.0108106552734375,0.0,74637.0,223545.655397,50.046259765625,51.247370000000004,reference-itemwise,216086.582705,224792.996831,216698.254332,225448.719948,108443.377016,"[203850.511042, 204491.62531]",204225.779126,"[212341.204125, 213067.866881]",212736.321603,8,sg_to_us,"[224378.123933, 225448.719948]","[224530.203573, 225448.719948]",0,0,0,0,20400,0,20
preswap-sg-load-v3-final,load,1,"[1875.605174, 1920.417767]","[1902.910186, 1920.417767]",sg_load,31,0.0,0.03436525984017598,14.0,33.433,1.812203082733065,0.033433000000000004,1.4060562494384041,0.0,0.046123438714248954,0.0,0.0,2.0,561432.0,1.0,0.0,0.0,25.0,14.0,16.710425634418613,0.539045988207052,1835.5324345,1.0,4577.0,4.0,3392.0,3.0,9.0,50.825,2.320564441302227,0.050824999999999995,0.0,0.0,0.0,1.3622296244494339,0.0,0.038669198284238725,2.0,22052.0,1.0,0.0,0.0,24.0,1855.1299985,84.26849999999999,0.0842685,batch-joint-presigning-batch-verification,1919.862052,1938.859153,1920.417767,1939.912958,1834.377698,"[1895.341981, 1920.417767]",1919.862052,"[1902.910186, 1920.417767]",1920.417767,16,sg_to_us,"[1914.821544, 1939.912958]","[1921.979867, 1939.912958]",0,0,0,0,0,0,20
preswap-sg-load-v3-final,load,1,"[1866.789069, 1928.165024]","[1870.907239, 1928.165024]",sg_load,31,0.0,0.033652743321020556,12.0,38.088499999999996,2.0577520251536803,0.0380885,1.4814821532869225,0.0,0.04459387140576972,0.0,0.0,2.0,561432.0,1.0,0.0,0.0,23.0,12.0,16.63957896758385,0.5367606118575436,1843.823007,1.0,4445.0,3.0,3392.0,3.0,9.0,59.263999999999996,2.6796742885571803,0.059264,0.0,0.0,0.0,1.4422512826529852,0.0,0.03796011033381655,2.0,22076.0,1.0,0.0010595,0.0,23.0,1863.0296130000002,97.303,0.097303,batch-joint-presigning-itemwise,1917.992868,1937.041439,1928.165024,1947.340453,1842.286297,"[1866.789069, 1928.165024]",1917.992868,"[1870.907239, 1928.165024]",1928.165024,16,sg_to_us,"[1886.289988, 1947.340453]","[1890.053643, 1947.340453]",0,0,0,0,0,0,20
preswap-sg-load-v3-final,load,1,"[1859.575991, 1914.685674]","[1860.372215, 1914.685674]",sg_load,31,0.0,0.05565219075340927,14.0,33.4465,1.8083643991685796,0.033446500000000004,1.460833678715355,0.0,0.06962374079665617,0.0,0.0,2.0,561432.0,1.0,0.0,0.0,32.0,14.0,16.67973077341333,0.53805583140043,1838.6533725,1.0,6561.0,4.0,6368.0,3.0,9.0,50.9925,2.310406784635604,0.050992499999999996,0.0,0.0,0.0,1.4639639639639639,0.0,0.057767262465502095,2.0,22084.0,1.0,0.0026095,0.0,29.0,1858.548704,84.436,0.08443600000000001,phase-coalesced-batch-verification,1894.835249,1914.069282,1914.685674,1934.052359,1835.729557,"[1859.575991, 1914.685674]",1894.835249,"[1860.372215, 1914.685674]",1914.685674,16,sg_to_us,"[1878.777828, 1934.052359]","[1879.431048, 1934.052359]",0,0,0,0,0,0,20
preswap-sg-load-v3-final,load,1,"[1860.679403, 1922.631467]","[1869.989821, 1922.631467]",sg_load,31,0.0,0.05499612591979988,12.0,38.150000000000006,2.049568738611948,0.03815,1.5226145864465748,0.0,0.06796192352080294,0.0,0.0,2.0,561432.0,1.0,0.0,0.0,30.0,12.0,16.65312088295886,0.5371974478373827,1841.748507,1.0,6429.0,3.0,6368.0,3.0,9.0,59.518,2.7065400591498046,0.059518,0.0,0.0,0.0,1.5188988802079066,0.0,0.057379890147563034,2.0,21856.0,1.0,0.004038,0.0,28.0,1861.5158514999998,97.628,0.097628,phase-coalesced-itemwise,1915.016903,1934.249597,1922.631467,1942.454931,1839.283461,"[1865.957598, 1922.631467]",1915.016903,"[1869.989821, 1922.631467]",1922.631467,16,sg_to_us,"[1885.054033, 1942.454931]","[1889.278924, 1942.454931]",0,0,0,0,0,0,20
preswap-sg-load-v3-final,load,1,"[2350.979732, 2579.85016]","[2374.82135, 2579.85016]",sg_load,31,0.0,0.06775171188635278,61.0,39.477500000000006,1.7290839626156176,0.0394775,1.3800813443340143,0.0,0.10650006484998523,0.0,0.0,2.0,561432.0,1.0,0.0,0.0,79.0,61.0,13.562942788635482,0.4375142835043704,2265.8662405,1.0,8285.0,63.0,11072.0,93.0,68.0,62.724000000000004,2.366092976039625,0.062724,0.0,0.0,0.0,1.3713397513036503,0.0,0.09141520697951293,3.0,22056.0,1.0,0.0045215,0.0,76.0,2285.640553,102.09100000000001,0.102091,reference-itemwise,2557.335725,2576.70546,2579.85016,2599.174159,2264.643617,"[2350.979732, 2579.85016]",2557.335725,"[2374.82135, 2579.85016]",2579.85016,16,sg_to_us,"[2346.003666, 2599.174159]","[2394.211299, 2599.174159]",0,0,0,0,0,0,20
